numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
40,Eurya japonica,Eurya japonica,Eurya,japonica,NA,,AK,,,,,,,,,,,,,,,,,,
40,Parthenocissus tricuspidata,Parthenocissus tricuspidata,Parthenocissus,tricuspidata,NA,,AK,,,,,,,,,,,,,,,,,,
40,Lonicera japonica,Lonicera japonica,Lonicera,japonica,NA,,AK,,,,,,,,,,,,,,,,,,
40,Paederia scandens,Paederia scandens,Paederia,scandens,NA,,AK,,,,,,,,,,,,,,,,,,
40,Cornus florida,Cornus florida,Cornus,florida,NA,,AK,,,,,,,,,,,,,,,,,,
40,Ilex serrata,Ilex serrata,Ilex,serrata,NA,,AK,,,,,,,,,,,,,,,,,,
40,Pyracantha coccinea,Pyracantha coccinea,Pyracantha,coccinea,NA,,AK,,,,,,,,,,,,,,,,,,
40,Viburnum dilatatum,Viburnum dilatatum,Viburnum,dilatatum,NA,,AK,,,,,,,,,,,,,,,,,,
40,Phytolacca americana,Phytolacca americana,Phytolacca,americana,NA,,AK,,,,,,,,,,,,,,,,,,
40,Morus bombycis,Morus bombycis,Morus,bombycis,NA,,AK,,,,,,,,,,,,,,,,,,
40,Aphniphyllum macropodum,Aphniphyllum macropodum,Aphniphyllum,macropodum,NA,,AK,,,,,,,,,,,,,,,,,,
40,Ilex crenata,Ilex crenata,Ilex,crenata,NA,,AK,,,,,,,,,,,,,,,,,,
40,Ligustrum obtusifolium,Ligustrum obtusifolium,Ligustrum,obtusifolium,NA,,AK,,,,,,,,,,,,,,,,,,
40,Ophiopogon japonicus,Ophiopogon japonicus,Ophiopogon,japonicus,NA,,AK,,,,,,,,,,,,,,,,,,
40,Pourthiaea villosa,Pourthiaea villosa,Pourthiaea,villosa,NA,,AK,,,,,,,,,,,,,,,,,,
40,Celastrus orbiculatus,Celastrus orbiculatus,Celastrus,orbiculatus,NA,,AK,,,,,,,,,,,,,,,,,,
40,Idesia polydarpa,Idesia polydarpa,Idesia,polydarpa,NA,,AK,,,,,,,,,,,,,,,,,,
40,Fatsia japonica,Fatsia japonica,Fatsia,japonica,NA,,AK,,,,,,,,,,,,,,,,,,
40,Aucuba japonica,Aucuba japonica,Aucuba,japonica,NA,,AK,,,,,,,,,,,,,,,,,,
40,Callicarpa dichtoma,Callicarpa dichtoma,Callicarpa,dichtoma,NA,,AK,,,,,,,,,,,,,,,,,,
41,Aridisia sievoldii,Aridisia sievoldii,Aridisia,sievoldii,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ardisia squamulosa,Ardisia squamulosa,Ardisia,squamulosa,NA,,AK,,,,,,,,,,,,,,,,,,
41,Bischofia javanica,Bischofia javanica,Bischofia,javanica,NA,,AK,,,,,,,,,,,,,,,,,,
41,Champereia manillana,Champereia manillana,Champereia,manillana,NA,,AK,,,,,,,,,,,,,,,,,,
41,Diospyros ferrea,Diospyros ferrea,Diospyros,ferrea,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ehretia acuminata,Ehretia acuminata,Ehretia,acuminata,NA,,AK,,,,,,,,,,,,,,,,,,
41,Leea guineensis,Leea guineensis,Leea,guineensis,NA,,AK,,,,,,,,,,,,,,,,,,
41,Mchilus japonica,Mchilus japonica,Mchilus,japonica,NA,,AK,,,,,,,,,,,,,,,,,,
41,Myrica adenophora,Myrica adenophora,Myrica,adenophora,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ptychosperma angustifolia,Ptychosperma angustifolia,Ptychosperma,angustifolia,NA,,AK,,,,,,,,,,,,,,,,,,
41,Trema orientalis,Trema orientalis,Trema,orientalis,NA,,AK,,,,,,,,,,,,,,,,,,
41,Viburnum odoratissimum,Viburnum odoratissimum,Viburnum,odoratissimum,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus ampelas,Ficus ampelas,Ficus,ampelas,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus benjamina,Ficus benjamina,Ficus,benjamina,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus caulocarpa,Ficus caulocarpa,Ficus,caulocarpa,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus irisana,Ficus irisana,Ficus,irisana,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus microcarpa,Ficus microcarpa,Ficus,microcarpa,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus superba,Ficus superba,Ficus,superba,NA,,AK,,,,,,,,,,,,,,,,,,
41,Ficus virgata,Ficus virgata,Ficus,virgata,NA,,AK,,,,,,,,,,,,,,,,,,
42,Cordia lomatoloba,Cordia lomatoloba,Cordia,lomatoloba,NA,,AK,,,,,,,,,,,,,,,,,,
42,Cecropia obtusa,Cecropia obtusa,Cecropia,obtusa,NA,,AK,,,,,,,,,,,,,,,,,,
42,Goupia glabra,Goupia glabra,Goupia,glabra,NA,,AK,,,,,,,,,,,,,,,,,,
42,Licania membranacea,Licania membranacea,Licania,membranacea,NA,,AK,,,,,,,,,,,,,,,,,,
42,Ludovia lancifolia,Ludovia lancifolia,Ludovia,lancifolia,NA,,AK,,,,,,,,,,,,,,,,,,
42,Drypetes variabilis,Drypetes variabilis,Drypetes,variabilis,NA,,AK,,,,,,,,,,,,,,,,,,
42,Mouriri crassifolia,Mouriri crassifolia,Mouriri,crassifolia,NA,,AK,,,,,,,,,,,,,,,,,,
42,Bagassa guianensis,Bagassa guianensis,Bagassa,guianensis,NA,,AK,,,,,,,,,,,,,,,,,,
42,Ficus insipida,Ficus insipida,Ficus,insipida,NA,,AK,,,,,,,,,,,,,,,,,,
42,Virola michelii,Virola michelii,Virola,michelii,NA,,AK,,,,,,,,,,,,,,,,,,
42,Minquarta guinanensis,Minquarta guinanensis,Minquarta,guinanensis,NA,,AK,,,,,,,,,,,,,,,,,,
42,Moutabea guianensis,Moutabea guianensis,Moutabea,guianensis,NA,,AK,,,,,,,,,,,,,,,,,,
42,Quiina obovata,Quiina obovata,Quiina,obovata,NA,,AK,,,,,,,,,,,,,,,,,,
